slope_weight,slope_density,sampleSlope
-0.21394527,1.2551059e-05,0.56978554
-0.21344915,1.3259252e-05,0.44378653
-0.21294928,1.4005443e-05,0.8010604
-0.21244577,1.479161e-05,0.18834445
-0.21193826,1.5619673e-05,0.23363683
-0.21142691,1.6491858e-05,0.4615655
-0.21091169,1.741027e-05,0.76351655
-0.21039245,1.8377337e-05,0.29096365
-0.2098695,1.9395424e-05,0.6269256
-0.20934248,2.046702e-05,0.47171563
-0.20881146,2.1594857e-05,0.768917
-0.20827642,2.2781673e-05,0.52104306
-0.20773742,2.403041e-05,0.7828736
-0.2071943,2.5344092e-05,0.509352
-0.20664698,2.6725793e-05,0.4347993
-0.20609558,2.8178973e-05,0.49431872
-0.20554009,2.9707091e-05,0.42831695
-0.2049804,3.131378e-05,0.4250806
-0.20441648,3.3002703e-05,0.49607214
-0.20384833,3.477791e-05,0.7416308
-0.20327589,3.6643574e-05,0.3083497
-0.20269921,3.860402e-05,0.7901545
-0.20211813,4.0663723e-05,0.74568564
-0.20153263,4.2827316e-05,0.3520384
-0.20094293,4.5100012e-05,0.19531772
-0.20034873,4.7486563e-05,0.7830787
-0.1997501,4.9992577e-05,0.5297674
-0.1991471,5.262352e-05,0.72869825
-0.19853944,5.5385368e-05,0.5212074
-0.19792733,5.8284102e-05,0.5034373
-0.1973106,6.1326245e-05,0.61608046
-0.19668931,6.451813e-05,0.66192514
-0.19606346,6.786676e-05,0.66917896
-0.19543293,7.137944e-05,0.42680553
-0.19479772,7.506392e-05,0.7112375
-0.19415781,7.89273e-05,0.76481956
-0.19351313,8.297843e-05,0.5750971
-0.1928637,8.7225366e-05,0.06257101
-0.19220936,9.167697e-05,0.7259629
-0.19155037,9.634291e-05,0.70984715
-0.19088641,0.00010123203,0.45533428
-0.19021755,0.000106354855,0.79278255
-0.18954387,0.00011172168,0.761688
-0.18886515,0.00011734311,0.42951006
-0.18818146,0.00012323081,0.3410045
-0.1874927,0.00012939578,0.4478219
-0.18679908,0.0001358509,0.6960529
-0.1861001,0.00014260845,0.5814859
-0.18539616,0.00014968174,0.52531075
-0.18468717,0.00015708458,0.5394816
-0.18397292,0.00016483091,0.6742609
-0.18325338,0.00017293548,0.6405712
-0.18252856,0.00018141381,0.34655455
-0.18179855,0.00019028204,0.3477332
-0.18106323,0.00019955651,0.6233732
-0.18032265,0.00020925475,0.6934773
-0.17957664,0.00021939435,0.69194454
-0.17882526,0.00022999416,0.58455354
-0.17806834,0.00024107317,0.6648611
-0.17730597,0.0002526512,0.6714958
-0.17653811,0.00026474966,0.7461605
-0.1757648,0.00027738992,0.45261052
-0.17498592,0.00029059433,0.71599114
-0.17420128,0.00030438576,0.6577174
-0.17341104,0.00031878887,0.68157625
-0.17261532,0.00033382862,0.63982266
-0.17181373,0.00034952923,0.36933327
-0.17100656,0.00036591978,0.70535576
-0.1701934,0.00038302667,0.6159268
-0.16937456,0.0004008802,0.81430495
-0.16854987,0.00041950867,0.42568257
-0.16771924,0.00043894336,0.59413826
-0.16688275,0.00045921621,0.36372596
-0.16604027,0.0004803617,0.6226386
-0.16519198,0.0005024128,0.23850387
-0.16433755,0.0005254048,0.60200405
-0.16347706,0.00054937665,0.786828
-0.16261059,0.0005743636,0.58220285
-0.16173789,0.0006004063,0.36744845
-0.16085914,0.00062754547,0.67202145
-0.15997422,0.0006558247,0.33742407
-0.1590831,0.0006852861,0.6714983
-0.15818566,0.0007159737,0.6420194
-0.1572819,0.0007479371,0.6789746
-0.15637186,0.00078122236,0.40231398
-0.15545547,0.00081587763,0.32734993
-0.15453267,0.0008519598,0.37841487
-0.15360355,0.00088951713,0.38913155
-0.15266803,0.0009286066,0.4573768
-0.1517258,0.0009692844,0.6669611
-0.15077722,0.0010116091,0.713341
-0.14982197,0.0010556414,0.53882825
-0.14886016,0.0011014448,0.75563043
-0.14789179,0.0011490828,0.5548945
-0.14691672,0.00119862,0.67996186
-0.14593482,0.0012501292,0.32217044
-0.14494637,0.0013036769,0.48606336
-0.14395118,0.0013593404,0.78839344
-0.14294907,0.0014171913,0.3960488
-0.14194015,0.0014773079,0.60888714
-0.1409243,0.0015397719,0.71614754
-0.13990155,0.0016046681,0.27428138
-0.13887206,0.0016720747,0.6774174
-0.13783538,0.001742085,0.085953295
-0.1367918,0.0018147897,0.3219761
-0.13574114,0.0018902752,0.61376905
-0.13468355,0.0019686436,0.45582825
-0.13361853,0.002049988,0.331428
-0.1325466,0.0021344167,0.5472554
-0.13146752,0.0022220323,0.51500785
-0.13038123,0.0023129378,0.7771237
-0.12928745,0.0024072502,0.5213227
-0.12818679,0.0025050761,0.70719314
-0.1270786,0.0026065367,0.42249355
-0.125963,0.0027117578,0.654347
-0.12484004,0.0028208552,0.5177341
-0.12370967,0.0029339597,0.595602
-0.12257204,0.0030512004,0.3761776
-0.121426664,0.003172715,0.35096732
-0.12027397,0.0032986342,0.4971708
-0.119113706,0.0034291146,0.53379655
